number,state,value,mlflow_run_id,param.C,param.max_iter,param.penalty,param.solver,user_attr.effective_device,user_attr.objective_metric,user_attr.objective_value
0,COMPLETE,0.013952636189022387,,0.03148911647956861,600,l2,lbfgs,,pr_auc,0.013952636189022387
1,COMPLETE,0.01829970128901302,,0.004207988669606638,800,l2,lbfgs,,pr_auc,0.01829970128901302
