number,state,value,mlflow_run_id,param.l2_regularization,param.learning_rate,param.max_depth,param.max_iter,param.max_leaf_nodes,param.min_samples_leaf,user_attr.effective_device,user_attr.objective_metric,user_attr.objective_value
0,COMPLETE,0.4365676509538364,,1.1091814877139725e-05,0.1785436060870726,11,160,51,20,,pr_auc,0.4365676509538364
1,COMPLETE,0.11246536586845475,,3.1433808753174177,0.146962368105409,12,80,43,10,,pr_auc,0.11246536586845475
