number,state,value,mlflow_run_id,param.class_weight,param.max_depth,param.max_features,param.min_samples_leaf,param.min_samples_split,param.n_estimators,user_attr.effective_device,user_attr.objective_metric,user_attr.objective_value
0,COMPLETE,0.1026471967388535,,balanced_subsample,28,sqrt,4,8,80,,pr_auc,0.1026471967388535
1,COMPLETE,0.08329398959763039,,balanced_subsample,22,sqrt,6,2,120,,pr_auc,0.08329398959763039
