model,selection_score,precision,recall,attack_class_recall,f1,pr_auc,roc_auc,false_positive_rate,false_negative_rate,training_time_seconds,inference_latency_ms_per_row
xgboost,0.8894368737208571,0.9347604485219164,0.8416704910509408,0.8416704910509408,0.8857763825163004,0.8961888595149323,0.9937704256097716,0.00032302431515059745,0.1583295089490592,288.25476949999575,0.009362449991619958
hist_gradient_boosting,0.7297237854093481,0.5850608752879236,0.8159706287287747,0.8159706287287747,0.681487159831353,0.4987571949290947,0.9923209137565139,0.003182294229725808,0.18402937127122534,127.60737410001457,0.019814135088767323
random_forest,0.6988015749871761,0.8606271777003485,0.5667737494263424,0.5667737494263424,0.6834532374100719,0.72047281549832,0.994744857354795,0.0005047254924228085,0.43322625057365766,1123.6792753000045,0.013252153179502823
logistic_regression,0.14658583233501496,0.0026099176872114035,0.011932078935291418,0.011932078935291418,0.004283007989457211,0.023979031256493043,0.8659783301935364,0.025074762463565128,0.9880679210647085,91.55206489993725,0.0003638474625672392
