model,selection_score,precision,recall,attack_class_recall,f1,pr_auc,roc_auc,false_positive_rate,false_negative_rate,training_time_seconds,inference_latency_ms_per_row
hist_gradient_boosting,0.282892244801477,0.36363636363636365,0.07407407407407407,0.07407407407407407,0.12307692307692308,0.30769590506136807,0.9930830186711949,0.0007038005228232455,0.9259259259259259,8.871056399977533,0.017360670000198298
xgboost,0.28104112702322526,0.125,0.018518518518518517,0.018518518518518517,0.03225806451612903,0.4673724786848742,0.9968719976763412,0.0007038005228232455,0.9814814814814815,4.620239099982427,0.008166379999602213
random_forest,0.17509087175199944,0.0,0.0,0.0,0.0,0.11428980021040176,0.9654355743235695,0.0005027146591594611,1.0,3.6410264000005554,0.00554454000084661
logistic_regression,0.14559627144475773,0.0049504950495049506,0.018518518518518517,0.018518518518518517,0.0078125,0.017235558423905784,0.8386323182221032,0.020209129298210334,0.9814814814814815,0.3217108999961056,0.0006642799999099225
